"","daily.returns"
"1",0.0640870616686822
"2",0.00340909090909092
"3",0.00113250283125699
"4",0.00565610859728505
"5",-0.016872890888639
"6",0.0331807780320366
"7",0.0044296788482836
"8",-0.0143329658213893
"9",0.0123042505592843
"10",-0.0696132596685084
"11",-0.00831353919239908
"12",0.022754491017964
"13",-0.046838407494145
"14",0.0294840294840295
"15",0.00835322195704036
"16",0.00473372781065096
"17",0.00235571260306244
"18",-0.0246768507638072
"19",-0.00481927710843388
"20",-0.00726392251815988
"21",-0.0024390243902439
"22",-0.019559902200489
"23",0.0199501246882794
"24",0.00977995110024454
"25",0.0411622276029056
"26",-0.00232558139534877
"27",-0.00582750582750591
"28",-0.018757327080891
"29",-0.00238948626045399
"30",0.00598802395209597
"31",-0.0333333333333334
"32",0.00369458128078826
"33",0.00245398773006134
"34",-0.00489596083231325
"35",0.00369003690036895
"36",0.0171568627450982
"37",-0.0120481927710845
"38",-0.00121951219512195
"39",0.0183150183150182
"40",0.00479616306954456
"41",0.0178997613365153
"42",0
"43",-0.00351699882766698
"44",-0.02
"45",-0.00360144057623046
"46",-0.0144578313253013
"47",0.00855745721271406
"48",-0.00848484848484854
"49",0.00244498777506097
"50",0.0121951219512197
"51",0
"52",0.0240963855421685
"53",-0.00117647058823522
"54",0.0270906949352179
"55",0.00114678899082565
"56",-0.00572737686139757
"57",0.00115207373271886
"58",0.0149597238204835
"59",0.0136054421768708
"60",0.0234899328859062
"61",-0.0360655737704918
"62",0.00340136054421758
"63",0.00903954802259888
"64",-0.0145576707726762
"65",0.0113636363636362
"66",0.00674157303370793
"67",-0.0200892857142859
"68",-0.0170842824601365
"69",0.00579374275782141
"70",-0.0149769585253455
"71",-0.00350877192982468
"72",0.00352112676056349
"73",-0.0175438596491229
"74",-0.0107142857142857
"75",0.0204572803850782
"76",0.00235849056603765
"77",-0.02
"78",0.00240096038415372
"79",-0.00598802395209563
"80",0.00120481927710836
"81",0.00120336943441623
"82",-0.00360576923076938
"83",-0.00603136308805774
"84",0.00849514563106801
"85",0.00722021660649808
"86",0.00358422939068115
"87",0.00119047619047619
"88",-0.0178359096313913
"89",-0.00242130750605318
"90",-0.025485436893204
"91",0
"92",-0.0199252801992527
"93",0.00381194409148677
"94",0
"95",-0.0126582278481013
"96",0.00512820512820511
"97",-0.00255102040816324
"98",-0.0127877237851663
"99",0.0090673575129534
"100",0.00256739409499351
"101",0.0371318822023048
"102",-0.0246913580246912
"103",0.0126582278481011
"104",-0.0125
"105",0.0341772151898734
"106",-0.0122399020807833
"107",-0.00991325898389095
"108",0.00750938673341683
"109",0.0161490683229812
"110",0.011002444987775
"111",-0.00604594921402646
"112",0.00608272506082708
"113",0.0133010882708586
"114",-0.0107398568019095
"115",0.00241254523522327
"116",-0.00361010830324926
"117",0.0205314009661837
"118",0.0272189349112426
"119",0.00345622119815681
"120",0.0149253731343282
"121",-0.00226244343891402
"122",-0.00566893424036286
"123",0.0057012542759407
"124",-0.00793650793650802
"125",-0.0285714285714286
"126",0.0129411764705882
"127",-0.00348432055749126
"128",-0.0174825174825175
"129",-0.00830367734282333
"130",0.0155502392344498
"131",-0.00235571260306233
"132",-0.00826446280991744
"133",0.00238095238095237
"134",-0.0332541567695961
"135",0.00737100737100715
"136",-0.0073170731707316
"137",-0.0036855036855038
"138",0.00493218249075222
"139",0.0171779141104293
"140",-0.00241254523522316
"141",0.0096735187424426
"142",-0.00479041916167655
"143",-0.0156438026474128
"144",-0.0146699266503667
"145",0.0297766749379653
"146",0.0168674698795179
"147",0.0130331753554505
"148",-0.0140350877192984
"149",0.00830367734282333
"150",-0.0164705882352942
"151",-0.0167464114832534
"152",-0.00973236009732359
"153",0
"154",-0.00737100737100738
"155",0.0173267326732673
"156",-0.0072992700729928
"157",0.034313725490196
"158",-0.00710900473933629
"159",-0.0250596658711219
"160",-0.00367197062423497
"161",0.00122850122850116
"162",-0.00122699386503067
"163",-0.00491400491400507
"164",-0.00864197530864197
"165",-0.0037359900373598
"166",0.0149999999999999
"167",-0.00246305418719206
"168",-0.0024691358024691
"169",-0.00123762376237624
"170",0.00123915737298641
"171",0.00123762376237613
"172",-0.00370828182941896
"173",-0.0347394540942928
"174",-0.00771208226221087
"175",0.0194300518134716
"176",-0.0520965692503177
"177",-0.00804289544235914
"178",-0.0337837837837838
"179",0.00279720279720275
"180",-0.0125523012552301
"181",0.0141242937853108
"182",0.00835654596100288
"183",-0.0331491712707183
"184",0.00571428571428578
"185",0.0426136363636362
"186",0.00408719346049047
"187",-0.00271370420624162
"188",-0.00136054421768705
"189",-0.0204359673024522
"190",-0.0125173852573019
"191",-0.0112676056338028
"192",-0.0056980056980056
"193",0.0300859598853869
"194",0.0292072322670376
"195",0.035135135135135
"196",0.00130548302872069
"197",0.0312907431551499
"198",0.0113780025284449
"199",-0.03
"200",0.0180412371134022
"201",-0.0177215189873419
"202",0.0103092783505154
"203",-0.0204081632653061
"204",0
"205",-0.00130208333333326
"206",-0.0130378096479791
"207",-0.00660501981505957
"208",0.0146276595744681
"209",-0.0104849279161205
"210",-0.0344370860927152
"211",0.00137174211248281
"212",-0.0287671232876713
"213",0
"214",0.00282087447108603
"215",-0.00281293952180039
"216",0.0225669957686883
"217",-0.0206896551724138
"218",-0.00422535211267594
"219",0.0141442715700142
"220",-0.0153417015341702
"221",0.046742209631728
"222",-0.00135317997293638
"223",-0.0121951219512195
