"","daily.returns"
"1",-0.00838488578664209
"2",-0.0216889973126989
"3",0.00187670868156342
"4",0.00712980127299367
"5",0.00558623263955926
"6",0.00740479999999999
"7",-0.00624495733988961
"8",-0.00999207282769909
"9",-0.0183131969960157
"10",-0.0529057720769611
"11",-0.00482699226292171
"12",0.0100986132726626
"13",-0.0423811958489367
"14",-0.0108585858585858
"15",0.0299719172836355
"16",-0.0192629103991389
"17",0.0196412581958927
"18",0.0348361236225603
"19",0.0126742538820035
"20",0.0316742693022469
"21",-0.0132645976077871
"22",0.0411054389027927
"23",0.0147549241530585
"24",0.0130951408481679
"25",0.033021764344682
"26",-0.0149443713937474
"27",0.02399099121064
"28",-0.00103578607865651
"29",-0.0151706549718753
"30",0.100140309055047
"31",-0.00382221778826364
"32",0.0217243035542747
"33",-0.0315828673855229
"34",-0.00839178904610982
"35",0.0517725664963182
"36",-0.019810560621302
"37",-0.0129518387931316
"38",-0.0143990165279115
"39",0.0103904264450938
"40",0.000638558966756131
"41",-0.007707704430436
"42",0.0356001299861799
"43",-0.00656100691530115
"44",-0.00314719808377462
"45",0.0555370219912648
"46",-0.0310885146448172
"47",0.0422695379562588
"48",-0.0497323618945786
"49",0.181305302356468
"50",-0.0281620810702465
"51",0.0126978293243196
"52",0.00675545904098684
"53",0.00638372662516962
"54",-0.00824882627885015
"55",-0.0303990051149233
"56",-0.0247556043475573
"57",0.00203208451912196
"58",0.0131696048632219
"59",-0.000331152529844059
"60",-0.0246754588082694
"61",-0.00546948923076918
"62",0.0161572457276602
"63",-0.029433305078966
"64",-0.00941095030069616
"65",0.0365928950802286
"66",-0.0156121965168171
"67",-0.00345103240737921
"68",0.00277033679281224
"69",-0.0203577639751553
"70",0.0267710356930912
"71",0.00720255332446884
"72",-0.0194126206213862
"73",-0.00312607865343939
"74",-0.00766655332335986
"75",0.00245735117151558
"76",-0.0472854352133804
"77",0.0139711145714618
"78",0
"79",-0.0478625057432855
"80",-0.00152439400553805
"81",0.0228851677531674
"82",0.0111838926174497
"83",0.0140124141812641
"84",-0.00327273108099613
"85",-0.030281538453456
"86",-0.00677202125872911
"87",-0.000758128651143108
"88",0.0178171218589518
"89",0.0160143839363287
"90",-0.0102616598962405
"91",-0.03407472
"92",0.00881785252236766
"93",-0.0304037042712964
"94",-0.00039513866544727
"95",0.003529418408317
"96",0.00586355144394157
"97",0.00971183216783222
"98",0.00461542749107569
"99",-0.0264230981627354
"100",0.0338303272002176
"101",0.0194082191780822
"102",-0.0108255125186786
"103",-0.0086780815962787
"104",-0.00266939295785229
"105",-0.0190828486191987
"106",0.0389136671298578
"107",-0.00149926921479682
"108",-0.0183808912016976
"109",0.000385174119886811
"110",-0.0297953879297377
"111",0.0192925284857599
"112",-0.010044996440331
"113",0.0343342192270302
"114",0.0162197102614383
"115",0.00520084668302312
"116",0.0162451618797146
"117",0.00690698112128452
"118",0.0205685165367595
"119",0.000351292569782835
"120",0.0130816764906494
"121",-0.0191932793375805
"122",0.0128068521781894
"123",-0.0162258988002509
"124",0.00642673488808554
"125",-0.00894002508607794
"126",-0.021046443298969
"127",0.019745468796657
"128",-0.00860745550906739
"129",0.0256093215828479
"130",0.0097300385441581
"131",-0.0163454247360637
"132",-0.0183195369740723
"133",-0.0277760923033286
"134",-0.00803564636491705
"135",-0.0301566137510132
"136",0.00371416002628289
"137",0.0134092094313456
"138",0.00273716638817256
"139",-0.0163784415314986
"140",0.00971315447816989
"141",-0.0027484512167637
"142",-0.0147009919301394
"143",-0.00792732867132873
"144",-0.0474586257187677
"145",-0.0296003345074602
"146",-0.0127138117026416
"147",-0.0108135547138098
"148",-0.065066305287488
"149",0.00723606406221822
"150",0.0138175787728028
"151",-0.00435769761766114
"152",0.00437677025899186
"153",-0.0169008002198479
"154",-0.0177504159733777
"155",-0.00225635743954256
"156",0.0101867572156198
"157",0.0140033613445378
"158",0.0292840426166687
"159",0.0161030595813205
"160",-0.0100348652931854
"161",-0.0165463894420717
