"","000063.SZ.Open","000063.SZ.High","000063.SZ.Low","000063.SZ.Close","000063.SZ.Volume","000063.SZ.Adjusted"
"259",12.3333,12.5333,12.2333,12.3,20668380,11.698427
"260",12.35,12.5833,12.3083,12.5667,20475200,11.952084
"261",12.5667,12.75,12.3583,12.7083,27413114,12.086757
"262",12.7167,13.1833,12.7083,12.9583,38284414,12.324531
"263",12.9667,12.9667,12.7083,12.75,15282246,12.126418
"264",12.7083,13.0833,12.625,13.0667,22272596,12.427629
"265",13.0333,13.1167,12.775,12.8333,33441390,12.205645
"266",12.8417,13.0417,12.8167,13.0083,23080669,12.372086
"267",12.9,13.1167,12.85,12.9583,20013700,12.324531
"268",13,13.025,12.6667,12.7833,20687766,12.158091
"269",13.0167,13.5667,12.8333,13.55,59670096,12.887293
"270",13.4167,13.9583,13.3417,13.8167,53407201,13.140949
"271",13.8333,13.975,13.575,13.7417,20382654,13.069616
"272",13.875,13.975,13.6583,13.6917,30517780,13.022062
"273",13.7667,13.9417,13.5333,13.8417,23615309,13.164725
"274",13.8417,14.4167,13.7833,14.3583,43230031,13.656059
"275",14.3333,14.5417,14.2417,14.4083,25982862,13.703615
"276",14.425,14.5167,14.325,14.4,19917679,13.695719
"277",14.4167,14.8833,14.4167,14.5583,30439106,13.846278
"278",14.5417,14.65,14.125,14.325,22326182,13.624388
"279",14.275,14.5167,14.2333,14.2917,17375939,13.592717
"280",14.2333,14.3583,14.175,14.25,10707378,13.553057
"281",14.2667,14.55,14.2667,14.5167,17045656,13.806712
"282",14.5167,14.55,14.2583,14.325,19685671,13.624388
"283",14.3,14.45,14.0833,14.1583,19262719,13.465842
"284",14,14.2667,13.9333,14.1083,17485000,13.418286
"285",14.1667,14.3667,13.8833,14.0583,28149894,13.370732
"286",14.0917,14.425,14.0917,14.375,21878998,13.671944
"287",14.4417,14.9083,14.4417,14.8333,34862363,14.107827
"288",14.8167,15.0833,14.7583,14.9417,24330908,14.210927
"289",14.9917,15.2333,14.1417,14.2583,34353342,13.56095
"290",14.2583,14.775,14.25,14.6333,31721728,13.91761
"291",14.7083,14.8583,14.2333,14.7083,23116991,13.988941
"292",14.6333,15.175,14.5,15.125,36595630,14.385262
"293",15.025,15.1083,14.6667,14.6833,21763111,13.965164
"294",14.8,14.8833,14.4167,14.6083,21902888,13.893833
"295",14.6083,14.6083,14.1333,14.2583,21056780,13.56095
"296",14.1667,14.2083,13.875,13.9167,18195056,13.236057
"297",13.9167,14,13.5,13.6667,22420624,12.998285
"298",13.6917,13.85,13.625,13.7833,13807442,13.109183
"299",13.6667,13.8167,13.35,13.4,15126533,12.744628
"300",13.2333,13.7917,12.9583,13.4,32171783,12.744628
"301",13.55,13.8167,13.4667,13.6917,15233962,13.022062
"302",13.7917,14.2,13.75,14,24049078,13.315284
"303",14,14.0667,13.7083,13.8333,16432723,13.156736
"304",13.75,13.8417,13.525,13.5417,9561426,12.879398
"305",13.55,13.6667,13.2417,13.6167,10168361,12.95073
"306",13.6167,13.6167,13.6167,13.6167,0,12.95073
"307",13.625,13.6333,13.3333,13.6167,31066038,12.95073
"308",13.6333,13.875,13.5833,13.825,30558931,13.148843
"309",13.7083,13.8167,13.4833,13.5667,15040286,12.903175
"310",13.5667,13.6167,13.3333,13.4167,13792110,12.760511
"311",13.525,13.7083,13.425,13.6583,17453491,12.990295
"312",13.775,14.2083,13.775,14.0167,38922493,13.331166
"313",13.95,14.4333,13.9167,14.35,29792300,13.648167
"314",14.3,14.5583,14.1667,14.4167,19873268,13.711605
"315",14.2833,14.75,14.225,14.6917,24751027,13.973154
"316",14.6917,14.7333,14.4167,14.675,14305402,13.957271
"317",14.5833,14.625,14.2417,14.325,24229524,13.624388
"318",14.175,14.2167,13.75,14.0167,25118836,13.331166
"319",14.1333,14.35,14.0917,14.1083,17001598,13.418286
"320",14.1167,14.35,14.075,14.1667,16575565,13.473831
"321",14.1667,14.5417,14.0833,14.5333,23009551,13.822501
"322",14.3583,14.6083,14.3583,14.5833,24021689,13.870055
"323",14.5833,14.5833,14.275,14.5,19990212,13.79083
"324",14.3417,14.3917,14.1,14.1667,13135840,13.473831
