日期,收益率
2017/2/21,0.000976
2017/2/22,0.006827
2017/2/23,-0.001614
2017/2/24,-0.004528
2017/2/27,-0.007147
2017/2/28,-0.000654
2017/3/1,0.001637
2017/3/2,-0.000981
2017/3/3,0.000327
2017/3/6,0.004253
2017/3/7,0.004235
2017/3/8,0.006163
2017/3/9,-0.010316
2017/3/10,0.014658
2017/3/13,0.015088
2017/3/14,-0.004111
2017/3/15,0.001905
2017/3/16,-0.000951
2017/3/17,-0.015546
2017/3/20,0.019014
2017/3/21,0.023403
2017/3/22,0.021323
2017/3/23,-0.007262
2017/3/24,-0.003657
2017/3/27,-0.007342
2017/3/28,-0.020647
2017/3/29,-0.003776
2017/3/30,-0.010739
2017/3/31,0.009259
2017/4/5,0.001582
2017/4/6,0.004106
2017/4/7,-0.006291
2017/4/10,-0.015511
2017/4/11,-0.002572
2017/4/12,0.00677
2017/4/13,0.002882
2017/4/14,-0.006386
2017/4/17,0.011568
2017/4/18,0.00953
2017/4/19,0.005664
2017/4/20,0.022528
2017/4/21,-0.004284
2017/4/24,-0.013522
2017/4/25,-0.019003
2017/4/26,0.006986
2017/4/27,-0.014506
2017/4/28,-0.00704
2017/5/2,-0.001289
2017/5/3,-0.001613
2017/5/4,0.001939
2017/5/5,0.002258
2017/5/8,0.003219
2017/5/9,-0.01155
2017/5/10,0
2017/5/11,0.00357
2017/5/12,0.001294
2017/5/15,0.017765
2017/5/16,0.002539
2017/5/17,-0.014562
2017/5/18,0.006103
2017/5/19,0.011814
2017/5/22,0.007889
2017/5/23,0.015967
2017/5/24,-0.01171
2017/5/25,0.002806
2017/5/26,-0.003731
2017/5/31,0.007803
2017/6/1,0.008981
2017/6/2,-0.005525
2017/6/5,-0.020988
2017/6/6,0.01198
2017/6/7,0.004361
2017/6/8,0.028846
2017/6/9,-0.001507
2017/6/12,0.022645
2017/6/13,-0.004133
2017/6/14,-0.023421
2017/6/15,0.006679
2017/6/16,-0.012063
2017/6/19,0.003663
2017/6/20,-0.004258
2017/6/21,0.05223
2017/6/22,-0.019448
2017/6/23,0.040557
2017/6/26,0.001138
2017/6/27,0.007388
2017/6/28,-0.018336
2017/6/29,0
2017/6/30,0.004598
2017/7/3,-0.0123
2017/7/4,-0.011005
2017/7/5,0.014348
2017/7/6,-0.012991
2017/7/7,-0.010237
2017/7/10,-0.012116
2017/7/11,0.00688
2017/7/12,-0.001783
2017/7/13,0.002083
2017/7/14,0.010098
2017/7/17,-0.035284
2017/7/18,-0.00701
2017/7/19,0.007673
2017/7/20,0.005178
2017/7/21,-0.000909
2017/7/24,0.00273
2017/7/25,0.006352
2017/7/26,-0.020739
2017/7/27,0.001535
2017/7/28,0.004597
2017/7/31,0.002746
2017/8/1,0.006389
2017/8/2,-0.021161
2017/8/3,-0.002471
2017/8/4,-0.003096
2017/8/7,-0.002174
2017/8/8,-0.00498
2017/8/9,0.010322
2017/8/10,0.002786
2017/8/11,-0.00494
2017/8/14,0.012411
2017/8/15,-0.000919
2017/8/16,-0.000921
2017/8/17,0.012991
2017/8/18,-0.005802
2017/8/21,0.004607
2017/8/22,-0.00214
2017/8/23,-0.015012
2017/8/24,-0.00902
2017/8/25,0.009102
2017/8/28,0.00311
2017/8/29,0.00186
2017/8/30,-0.002167
2017/8/31,0.000931
2017/9/1,-0.006817
2017/9/4,-0.001872
2017/9/5,0.00125
2017/9/6,0.00281
2017/9/7,-0.004981
2017/9/8,-0.001252
2017/9/11,-0.005639
2017/9/12,-0.012602
2017/9/13,0.001276
2017/9/14,0.009242
2017/9/15,-0.00221
2017/9/18,0.003165
2017/9/19,-0.007571
2017/9/20,0.002225
2017/9/21,-0.006343
2017/9/22,-0.000319
2017/9/25,0.022669
2017/9/26,-0.00562
2017/9/27,0.000942
2017/9/28,0.006274
2017/9/29,0.010287
2017/10/9,0.000617
2017/10/10,0.013568
2017/10/11,-0.004259
2017/10/12,-0.007333
2017/10/13,0.00277
2017/10/16,0.008901
2017/10/17,0.000913
2017/10/18,0.023404
2017/10/19,-0.003267
2017/10/20,-0.006257
2017/10/23,0.018291
2017/10/24,0.0053
2017/10/25,-0.00205
2017/10/26,-0.015263
2017/10/27,0.019076
2017/10/30,0.005557
2017/10/31,-0.020652
2017/11/1,-0.010395
2017/11/2,-0.007203
2017/11/3,0.002418
2017/11/6,0.047949
2017/11/7,-0.004029
2017/11/8,0
2017/11/9,-0.014158
2017/11/10,0.00381
2017/11/13,0.010219
2017/11/14,-0.025145
2017/11/15,-0.000593
2017/11/16,0.014536
2017/11/17,0.006433
2017/11/20,0.007263
2017/11/21,0.023652
2017/11/22,-0.006199
2017/11/23,-0.043096
2017/11/24,-0.014519
2017/11/27,0.001804
2017/11/28,0.001501
2017/11/29,-0.029667
2017/11/30,-0.003088
2017/12/1,0.003408
2017/12/4,0.001544
2017/12/5,0.020654
2017/12/6,0.000302
2017/12/7,-0.00936
2017/12/8,-0.002743
2017/12/11,0.009474
2017/12/12,-0.018165
2017/12/13,0.004625
2017/12/14,-0.009208
2017/12/15,-0.003408
2017/12/18,-0.001554
2017/12/19,0.006538
2017/12/20,0.003402
2017/12/21,0.005857
2017/12/22,-0.012872
2017/12/25,0.001863
2017/12/26,0.002169
2017/12/27,-0.010823
2017/12/28,-0.002188
2017/12/29,0.010025
2018/1/2,0.007134
2018/1/3,0.004004
2018/1/4,-0.002454
2018/1/5,0.018758
2018/1/8,0.009055
2018/1/9,0.001496
2018/1/10,-0.005376
2018/1/11,0.005105
2018/1/12,-0.008664
2018/1/15,-0.021097
2018/1/16,0.031404
2018/1/17,0.010448
2018/1/18,0.007976
2018/1/19,-0.006155
2018/1/22,0.018284
2018/1/23,0.004344
2018/1/24,-0.000865
2018/1/25,-0.012987
2018/1/26,0.025439
2018/1/29,-0.033077
2018/1/30,0
2018/1/31,-0.000295
2018/2/1,-0.007965
